GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
notificacion-service,com.sabana.notificacion,NotificacionApplication,5,3,0,0,2,1,1,1,1,1
notificacion-service,com.sabana.notificacion.service,NotificacionService,0,72,0,0,0,18,0,5,0,5
notificacion-service,com.sabana.notificacion.controller,NotificacionController,7,33,0,0,1,9,1,4,1,4
notificacion-service,com.sabana.notificacion.model,NotificacionEntity,15,30,0,0,7,10,4,5,4,5
notificacion-service,com.sabana.notificacion.model,NotificacionRequest,0,26,0,0,0,9,0,6,0,6
